
Reaction test v3
type	A+B+C
number	1000

max value	65536
unit	us

test	A	B	C
0	30	7	42
1	8446	3	7
2	5	19	31
3	3	17	28
4	31	47	59
5	3	27	17
6	3	7	8805
7	31	5	23
8	31	21	5
9	7	31	21
10	7	19	31
11	5	27	17
12	29	7	19
13	28	17	5
14	3	7	3
15	8210	3	8
16	5	18	30
17	7	31	21
18	5	29	19
19	3	29	19
20	40	66	56
21	13379	3	7
22	47	19	5
23	17	5	29
24	7	21	33
25	20	32	8
26	17	27	5
27	8	3286	3
28	110	122	102
29	31	5	18
30	19	30	5
31	5	38	26
32	31	19	5
33	3	22	32
34	7	36	26
35	7	3	18643
36	7	21	32
37	9	28	40
38	31	19	7
39	5	22	36
40	20	30	7
41	23	5	37
42	21	7	33
43	33	21	9
44	7	21	33
45	33	23	9
46	27	15	5
47	3	4225	7
48	17	5	29
49	19	5	31
50	2756	8	3
51	21	7	33
52	19	31	7
53	30	18	6
54	29	5	19
55	9307	3	7
56	30	4	20
57	3	7	7912
58	67	87	80
59	4	28	18
60	5	27	17
61	16	26	5
62	17	27	7
63	27	5	17
64	29	5	19
65	26	16	4
66	3	15837	3
67	27	43	55
68	6	28	20
69	18	30	7
70	6997	8	3
71	28	18	6
72	3	3	7
73	17	27	7
74	18	6	30
75	3	16	26
76	7	23	31
77	18	30	8
78	18	30	6
79	19	29	7
80	20	30	8
81	19	7	31
82	33	23	7
83	27	5	19
84	7	35	21
85	7	3	6597
86	30	5	18
87	49	61	73
88	3	15	27
89	5	17	28
90	29	17	5
91	25	7	3
92	31	7	21
93	7	20	30
94	3	19	31
95	7	33	23
96	3	27	18
97	3	7	4380
98	17	27	5
99	21	31	7
100	17	5	29
101	32	6	22
102	29	7	19
103	6	20	32
104	27	17	5
105	17	5	29
106	7	22	34
107	19	5	31
108	28	18	7
109	27	17	5
110	15868	7	3
111	30	20	6
112	19	5	29
113	3	27	17
114	26	16	5
115	31	7	21
116	7	3	4914
117	32	6	20
118	5	17	29
119	29	17	7
120	5	27	17
121	12437	3	8
122	5	27	18
123	17	27	5
124	26	5	18
125	17	5	27
126	19	7	31
127	31	21	7
128	27	17	5
129	18	28	6
130	3	17	27
131	17	5	30
132	32	22	9
133	29	19	7
134	17	27	5
135	31	21	7
136	29	5	19
137	3	3	7257
138	7	33	21
139	7	33	25
140	3	8	10948
141	16	3	26
142	6	30	20
143	17	5	29
144	3	18	30
145	5	31	21
146	18	5	28
147	22	6	32
148	18440	7	3
149	17	5	29
150	5	31	21
151	3	8	5306
152	3	27	17
153	83	89	41
154	28	18	7
155	29	7	20
156	7	31	23
157	31	7	21
158	5	29	19
159	7	23	34
160	17	5	29
161	30	7	20
162	5	29	19
163	21290	3	7
164	5	19	29
165	17	27	5
166	204	187	218
167	5	21	31
168	23	5	35
169	17	27	5
170	3	27	17
171	5	18	28
172	5	19	32
173	21	7	37
174	7	35	23
175	5	30	43
176	7	10995	3
177	19	30	7
178	26	5	18
179	11	23	34
180	3	17536	7
181	6	30	20
182	7	21	33
183	20	32	9
184	5	32	19
185	21	33	7
186	7074	8	3
187	33	23	9
188	5	17	29
189	20	32	5
190	5	17	31
191	19	5	31
192	20	32	7
193	5	29	21
194	35	47	23
195	27	5	17
196	20	30	7
197	20	32	7
198	5	29	19
199	3	28	18
200	5	29	19
201	7	34	24
202	20	30	5
203	23	33	7
204	5	28	18
205	29	17	5
206	29	5	19
207	34	5	24
208	3	17	29
209	20	30	6
210	18	30	8
211	36	10	26
212	7	29	19
213	7	23	35
214	33	18	6
215	20	6	34
216	6	31	45
217	12853	8	3
218	31	7	21
219	32	7	22
220	3	22082	11
221	5	31	21
222	19	29	5
223	16868	3	8
224	20	6	30
225	17	27	5
226	29	19	7
227	19	31	5
228	15870	3	7
229	5	19	31
230	17	3	29
231	5	17	28
232	29	19	7
233	5	19	29
234	30	19	7
235	17	27	5
236	28	7	20
237	19	29	5
238	5	29	19
239	17	29	5
240	31	7	21
241	30	18	7
242	7	32	20
243	17	27	5
244	17	5	31
245	88	3	24292
246	17	5	29
247	5	18	28
248	6	30	20
249	28	5	18
250	5	19	29
251	51	110	15056
252	57	21	7
253	69	81	57
254	19	29	7
255	7	173	156
256	29	5	19
257	29	5	19
258	3	27	17
259	21	31	7
260	21367	3	7
261	28	17	5
262	21	34	7
263	17	29	5
264	30	5	20
265	128	118	110
