
Reaction test v3
type	A+B+C
number	1000

max value	65536
unit	us

test	A	B	C
0	37531	21330	3
1	28770	14131	6075
2	49064	8721	8735
3	11084	29359	37532
4	7559	15731	15745
5	4105	12227	24379
6	48976	4	8726
7	21359	21375	49727
8	5	17	31962
9	15219	15196	59636
10	22495	42758	14555
11	10041	26330	1979
12	27812	27826	3606
13	19013	19025	5
14	22776	34826	22764
15	7	2570	2560
16	46062	5673	37968
17	13178	33495	5103
18	6340	6324	38826
19	5	44591	24970
20	29639	29651	4535
21	33755	17577	5392
22	19158	18	7
23	19983	3738	3751
24	16537	5	3218
25	22697	3	22711
26	29811	13595	41921
27	17410	45808	29562
28	48401	16111	36361
29	12057	12043	1221
30	34768	34782	22669
31	22185	27200	11288
32	27951	7854	7839
33	29536	9384	9372
34	7	45251	20
35	23103	23115	23127
36	50754	26594	34581
37	3160	39784	47763
38	16312	16325	16337
39	11761	11773	23932
40	6656	13355	13366
41	8451	8463	28663
42	12866	12878	32097
43	17888	3120	42107
44	38162	9855	17873
45	15723	36057	43993
46	53620	9129	9143
47	15255	31553	5
48	15759	20342	48266
49	1464	37965	25800
50	2997	31213	3011
51	2963	35368	2979
52	16439	16451	4267
53	4418	44868	16568
54	5	25503	49952
55	2130	10227	15197
56	15217	31363	15231
57	7299	7311	39746
58	12620	24821	12608
59	27905	13008	12996
60	43736	16	5
61	11723	30027	38077
62	1105	10444	21348
63	15065	27897	40135
64	3643	3657	15891
65	44745	12378	36644
66	6497	30684	5
67	21421	21447	21439
68	18046	18070	18060
69	8582	8594	8570
70	35427	15044	55680
71	47192	27100	6863
72	9509	42300	30089
73	37715	17730	9340
74	26314	6610	42562
75	10551	7	30683
76	46	60	25918
77	23806	7650	29635
78	5133	17268	53634
79	31680	48018	31668
80	39948	3396	9148
81	32608	25696	41827
82	15330	47683	15318
83	29688	29710	29700
84	31102	19006	31090
85	4300	12351	4290
86	overflow

Reaction test v3
type	A+B+C
number	1000

max value	65536
unit	us

test	A	B	C
0	3	9713	3
1	3	34035	11668
2	24827	8687	8677
3	8250	3	24436
4	2195	31682	23631
5	1497	20721	12550
6	7636	19791	14224
7	5	24528	32587
8	36210	28099	16010
9	26705	26691	11812
10	10784	18838	2729
11	747	8875	41349
12	42600	34667	24455
13	1017	45511	21356
14	30578	18285	46798
15	8215	36588	8229
16	15630	27078	3543
17	5622	33919	41975
18	30368	7	10191
19	17896	11084	47512
20	5	10861	2835
21	24687	24675	24663
22	24548	24538	24526
23	33911	21918	33925
24	29734	17632	29748
25	34513	18473	18453
26	2925	35267	2909
27	43773	34116	26067
28	2193	2203	2179
29	32145	32157	24145
30	11944	11958	3963
31	21759	9655	9669
32	18530	7589	7603
33	24003	3793	48295
34	12281	36637	28469
35	41284	21090	9078
36	12759	33035	33023
37	5651	3	5639
38	12833	49288	7
39	overflow

Reaction test v3
type	A+B+C
number	1000

max value	65536
unit	us

test	A	B	C
0	3	40564	52665
1	5439	5451	21619
2	18259	4634	26372
3	6431	14523	14537
4	13396	37534	29477
5	5	24405	12188
6	4654	16690	16678
7	4916	17101	4906
8	16723	8591	8579
9	13470	29594	29608
10	4582	25064	32861
11	2953	27262	27275
12	8866	37228	25079
13	38532	18235	2462
14	19784	44416	44404
15	3	18034	23139
16	19309	27392	7
17	1719	14714	50263
18	25227	25215	25205
19	38509	26458	26443
20	12198	18	6
21	22090	22104	3
22	10093	10110	5
23	15231	27356	27370
24	37269	8937	8951
25	30576	50810	6309
26	27988	11842	27976
27	5433	49980	5447
28	39607	15283	15271
29	21059	751	25161
30	13664	13678	29838
31	50492	3	14165
32	10580	33885	33899
33	2463	26751	26765
34	7	20342	36459
35	38480	11193	26316
36	16440	343	331
37	40237	5	19789
38	3693	27169	43363
39	31657	7291	23389
40	24020	5	17
41	8878	3	8867
42	32188	3	22815
43	12787	44178	12798
44	23044	14909	46037
45	22560	577	14757
46	23823	11683	23810
47	28695	8496	4428
48	5152	25248	45508
49	10746	6810	21782
50	7	15430	27506
51	32289	4028	11021
52	20262	36472	12213
53	956	21131	937
54	26166	13986	5904
55	32218	19981	7925
56	24204	14329	48
57	25749	17583	34704
58	11134	11118	31313
59	17186	17196	17172
60	22169	2114	22156
61	4131	44362	11282
62	13266	5118	33437
63	1900	42395	17946
64	21360	13385	41600
65	4438	45002	24786
66	7186	31423	9
67	39765	11500	39781
68	2970	35365	8086
69	54604	18157	26256
70	18015	5883	46451
71	21289	21301	8892
72	27168	27154	15121
73	15815	15801	3804
74	31239	27113	11005
75	26068	17925	1872
76	2186	2201	46669
77	20577	28637	15230
78	44557	4083	4098
79	15273	40611	15287
80	18	23951	7
81	52506	8027	7
82	19736	31762	19717
83	13328	28408	13316
84	5466	5433	5456
85	37465	19014	29268
86	7121	35456	7109
87	493	20781	481
88	9929	26132	46378
89	26841	39088	10649
90	39840	3545	31821
91	23405	7229	11271
92	23532	7	1903
93	19733	11641	19751
94	16943	16929	16955
95	35398	27323	11176
96	38483	38465	38473
97	3085	27377	15238
98	1754	17906	1768
99	10957	28864	20772
