
Reaction test v3
type	A+B+C
number	1000

max value	65536
unit	us

test	A	B	C
0	16895	3	16883
1	31	7	21
2	28	18	6
3	5	17	29
4	28	16	5
5	1027	1012	1001
6	31	7	21
7	27	3	17
8	3	7	12320
9	32	6	22
10	5	17	28
11	3	16	28
12	30	18	6
13	27	17	5
14	31	5	21
15	3	7	25696
16	17	28	7
17	29	7	19
18	4	26	16
19	3	7	21
20	17	5	29
21	3	26	16
22	5	5	12138
23	7	30	20
24	29	5	19
25	32	6	22
26	30	20	6
27	3	3	25140
28	3	26	16
29	4	26	16
30	8	3	14136
31	22	45	35
32	20	3	8
33	21	31	9
34	17503	3	7
35	5	18	28
36	6	22	34
37	17	27	5
38	3	26	16
39	5	33	23
40	27	5	17
41	27	17	5
42	7	21	33
43	8311	8335	8325
44	27	5	19
45	3	17	27
46	19	29	7
47	7	3	13882
48	27	3	19
49	31	19	7
50	32	7	22
51	3	27	17
52	3	3	5759
53	5	28	18
54	28	17	5
55	5	29	19
56	19	5	31
57	30	20	8
58	1835	1848	1860
59	7	19	31
60	20	4	32
61	31	21	9
62	14788	7	3
63	7	32	20
64	21	32	5
65	3	3	21873
66	23	33	9
67	26	5	18
68	13635	3	8
69	32	20	6
70	18	3	30
71	7	3	14396
72	188	162	178
73	5	18	30
74	5	30	20
75	5	31	21
76	27	3	17
77	7092	7068	7082
78	29	5	19
79	31	21	7
80	6	28	18
81	3	8	17974
82	1610	1622	1598
83	7	20	32
84	7	32	22
85	19	29	7
86	27	3	17
87	3	8254	13984
88	24	34	9
89	19	7	31
90	18	28	6
91	18	5	30
92	7	21	33
93	7	10082	3
94	7	19	33
95	19	7	175
96	19	5	31
97	7927	7953	7943
98	17	3	29
99	19	7	31
100	18	6	30
101	36	24	8
102	30	20	8
103	19	29	7
104	8	3	4196
105	29	19	7
106	3	27	17
107	733	758	747
108	29	19	7
109	21	31	9
110	8	3	3
111	29	19	7
112	1552	1528	1542
113	3	27	17
114	5	29	19
115	27	17	7
116	7	23	34
117	265	255	243
118	7	31	21
119	7	35	25
120	21	31	7
121	17	27	7
122	5	31	23
123	19	7	31
124	25	7	33
125	8	3	15497
126	7	31	21
127	15152	3	8
128	31	19	7
129	16	26	5
130	15	3	27
131	32	8	22
132	7	19	31
133	3	10602	883
134	7	20	34
135	5	27	19
136	17	29	5
137	26	4	18
138	3	17	27
139	3	6597	7
140	21	31	9
141	19	29	7
142	6	30	20
143	3	25615	2241
144	7	53	43
145	13114	3	9
146	5	22	30
147	17	7	3
148	5	19	31
149	3	4259	7
150	7	29	20
151	18	33	7
152	21	31	9
153	3	3	8
154	8	7031	3
155	5	29	19
156	30	20	8
157	3	8	14110
158	23	7	35
159	7437	7	3
160	27	5	21
161	3	7	15129
162	31	7	21
163	30	6	20
164	6	20	32
165	3	15	26
166	20	30	8
167	19	29	7
168	3644	3620	3634
169	5	22	34
170	7	18287	3
171	19	7	31
172	5	21	29
173	18	28	7
174	3820	3806	3
175	32	6	22
176	30	20	6
177	20	30	6
178	7069	7055	7081
179	21	7	33
180	19	7	31
181	4	31	18
182	8	3	27694
183	7	23	35
184	16	28	6
185	26	3	16
186	4	26	18
187	4392	4416	4406
188	33	7	23
189	34	20	8
190	28	5	18
191	7	3	15703
192	22	8	34
193	3	30	20
194	20	7	32
195	3	19	33
196	5	17	51
197	5902	5914	5890
198	24	6	36
199	42	70	60
200	19	5	31
201	1469	1481	1493
202	23	34	7
203	30	7	20
204	16	4	28
205	22	7	34
206	8	18167	3
207	6	20	32
208	31	17	7
209	16	28	39
210	3	12404	7
211	20	30	8
212	7	18	30
213	27	3	19
214	7	31	21
215	17	27	5
216	4184	4209	4199
217	27	3	17
218	27	3	17
219	48	5	17
220	3	17169	9
221	7	20	34
222	3	15984	3
223	28	18	7
224	8	5840	3
225	19	7	33
226	17	27	5
227	3	30	20
228	7	31	23
229	7	35	25
230	19	7	31
231	6732	7	3
232	18	30	6
233	19	5	30
234	8	20	3
235	29	7	21
236	19	29	5
237	7	31	21
238	3	8293	8
239	4	28	18
240	30	6	20
241	13159	3	7
242	28	5	18
243	16	5	28
244	21	31	7
245	5	28	18
246	7	21	33
247	5	17	29
248	28	6	20
249	19	29	7
250	16	4	28
251	45	4	35
252	9158	9132	9146
253	5	30	18
254	17	5	29
255	5	21	32
256	6933	6945	6959
257	29	5	19
258	7	31	21
259	18	30	7
260	19	7	31
261	3	27	17
262	20	30	8
263	19	7	31
264	17	5	29
265	17	29	5
266	8491	8465	8479
267	19	5	29
268	29	19	7
269	3	14991	8
270	17	5	29
271	21	7	34
272	5	28	18
273	18	5	33
274	17	5	27
275	20	32	8
276	21	7	32
277	32	18	7
278	3	7	12491
279	28	18	7
280	5	19	31
281	16669	7	3
282	30	7	20
283	34	4	24
284	29	17	5
285	5403	5391	5381
286	17	29	5
287	7	14227	3
288	5	27	17
289	5	29	19
290	64	76	54
291	7	15753	3
292	31	21	9
293	27	17	5
294	28	17	5
295	18	6	32
296	30	6	20
297	31	3	21
298	3	17	29
299	28	6	20
300	3	19	7
301	3	19	30
302	28	17	7
303	3	28	42
304	15	3	27
305	19	31	9
306	30	7	20
307	3	3	18117
308	7	18	30
309	7	19	31
310	3	17	29
311	10459	10447	10435
312	18	30	7
313	5	30	20
314	7	3	21971
315	10345	10356	10329
316	28	5	18
317	19	7	31
318	18	5	28
319	31	19	9
320	104	118	129
321	18	7	30
322	31	5	21
323	3	7	18600
324	5080	5104	5094
325	19	29	7
326	19	31	9
327	36	3	17
328	3	35743	5905
329	21	31	7
330	35	7	22
331	7	32	22
332	5859	5871	5847
333	19	31	7
334	5504	3	7
335	28	18	7
336	35	7	27
337	3	16235	7
338	7	34	24
339	25	15	5
340	27	5	19
341	5834	5822	5810
342	29	5	19
343	7	3	17824
344	3	15	27
345	30	18	8
346	3	28174	8
347	6	30	20
348	19	7	31
349	29	19	7
350	8	7194	3
351	18	6	30
352	19	29	7
353	7	20	32
354	3	17	7
355	3	27	17
356	5	26	16
357	3	155	17793
358	7	19	30
359	6	18	30
360	5	17	29
361	3	28914	7
362	31	7	21
363	3	15	27
364	18	28	6
365	18	28	7
366	29	5	19
367	32	3	22
368	3	15	27
369	29	7	21
370	3994	3982	3970
371	26	16	4
372	19	31	9
373	7	28	20
374	98	92	74
375	3	17	7
376	16	28	6
377	32	22	9
378	32	22	7
379	30	18	5
380	3	20	8
381	27	5	17
382	3	29	16
383	31	7	21
384	30	20	8
385	3	16037	2036
386	17	5	29
387	17	5	29
388	18	28	7
389	3384	3407	3397
390	6	20	32
391	5	29	19
392	28	6	18
393	3	28	18
394	7	31	21
395	3	10548	7
396	30	6	20
397	30	18	7
398	7	12597	3
399	20	7	32
400	7	8746	3
401	19	7	31
402	27	15	5
403	27	17	5
404	3	17	27
405	6624	6636	6613
406	16	3	28
407	16	3	26
408	4479	3	9
409	17	30	5
410	11450	11437	11462
411	7	20	32
412	3	13516	7
413	5	17	29
414	30	20	5
415	3	5958	8
416	21	9	35
417	3	27	17
418	22	32	7
419	35	25	9
420	3	3	18586
421	36	60	50
422	30	6	20
423	5	28	18
424	999	988	976
425	3	16	28
426	28	18	6
427	31	5	22
428	28	18	6
429	31	19	5
430	3	7	22440
431	3	27	17
432	18	28	6
433	3611	3625	3597
434	22	4	32
435	7	33	23
436	7	29	20
437	19	29	7
438	5876	5865	5853
439	27	17	5
440	29	19	7
441	19	29	5
442	3523	3533	3509
443	31	5	19
444	3	16419	7
445	3	24	16
446	7790	7816	7806
447	6	18	33
448	27	17	7
449	28	4	20
450	7	18	30
451	25577	3311	3
452	5	27	17
453	17583	3	7
454	5	17	28
455	3	20	3
456	6	20	32
457	3	13401	8
458	7	19	31
459	30	18	7
460	7	32	22
461	7	29	19
462	29	7	20
463	31	5	21
464	21	31	9
465	8	3	19
466	30	20	5
467	3	14000	7
468	31	7	21
469	30	5	22
470	4	30	20
471	27	3	19
472	5	27	17
473	31	7	21
474	32	20	7
475	3	18210	7
476	403	391	416
477	4	20	32
478	29	19	7
479	7	21	31
480	29	19	7
481	28	16	6
482	3	19517	7
483	17	5	29
484	4844	3	7
485	21	31	9
486	5	17	28
487	3	7	3
488	7	25	37
489	17	5	29
490	15456	7	3
491	7	19	31
492	31	7	21
493	3	8	10826
494	7	23	34
495	5	21	33
496	19	29	7
497	20	7	32
498	4	30	20
499	28	7	20
500	32	22	7
501	26	14	4
502	5	17	29
503	29	19	9
504	22301	2052	2066
505	24	8	36
506	18	6	30
507	5	21	35
508	5	17	28
509	19740	8	3
510	7	19	31
511	5	17	27
512	27	3	17
513	5	33	21
514	31	21	7
515	18	5	28
516	5	17	29
517	7576	7602	7592
518	16	28	6
519	16	5	28
520	5	27	19
521	23342	3	7
522	7	21	35
523	30	20	6
524	4	16	28
525	21	5	33
526	3	17	29
527	4	16	28
528	3238	3262	3252
529	29	5	21
530	25	3	17
531	5	29	19
532	7	22	32
533	4481	4467	4493
534	20	30	8
535	15825	8	3
536	16	26	5
537	6	36	22
538	25	7	35
539	22	7	34
540	20	30	9
541	7	19	30
542	4	16	28
543	3	8080	8066
544	5	29	19
545	18	3	30
546	17	5	32
547	5	17	29
548	71	59	83
549	19	33	7
550	5	16	28
551	15	27	5
552	15	25	5
553	8000	8023	8013
554	5	18	30
555	47	24	37
556	19	29	7
557	8811	8823	8799
558	28	5	18
559	7	21	32
560	26	16	6
561	7	5223	3
562	5	21	31
563	1287	1299	1311
564	28	4	18
565	3	7481	8
566	19	5	29
567	21	32	9
568	19	7	29
569	4	16	28
570	32	7	22
571	28	18	6
572	7	22	32
573	19	5	29
574	32	8	22
575	19	31	7
576	5	21	35
577	18	28	6
578	29	19	7
579	7	20	32
580	27	3	17
581	5	17	29
582	14	3	26
583	17	27	5
584	20	8	3
585	3	29	19
586	5	31	21
587	18	28	6
588	17376	3	8
589	17	27	5
590	19	5	31
591	32	22	7
592	28	7	20
593	4756	4730	4746
594	27	5	19
595	23	33	7
596	30	20	8
597	3	7	24662
598	33	23	7
599	3	10279	7
600	27	5	19
601	23	33	9
602	3	3	17917
603	17	3	29
604	7	3	13460
605	140	128	152
606	17	29	5
607	29	19	5
608	18	6	30
609	4687	3	7
610	26	16	4
611	7	19	31
612	8099	8086	3
613	5	18	28
614	20088	3	3
615	1932	1920	1908
616	7	33	23
617	6	30	20
618	7	21	31
619	21	31	7
620	31	19	7
621	19	7	31
622	132	122	112
623	27	3	17
624	29	7	20
625	3	8	3277
626	35	25	9
627	28	5	18
628	3	7	3
629	16266	3	263
630	8387	8410	8400
631	33	7	23
632	5	32	22
633	29	7	19
634	28	5	18
635	27	5	19
636	32	6	22
637	5	29	19
638	3	26	16
639	19	29	7
640	20	5	34
641	1973	1987	1999
642	5	29	19
643	21	31	9
644	29	19	5
645	3442	3454	3431
646	7	21	33
647	3	12305	7
648	5	17	29
649	4	18	28
650	1352	1375	1365
651	19	7	31
652	17	3	27
653	22	7	32
654	19	29	5
655	3	3	9755
656	5	23	35
657	18	30	8
658	17	5	27
659	19	5	29
660	35372	8	3
661	6	20	30
662	64	74	52
663	18	7	30
664	1049	1025	1039
665	19	29	5
666	16	26	4
667	31	60	50
668	18	28	7
669	6452	6441	6429
670	28	18	6
671	3	17	27
672	5	17	29
673	3	14288	8
674	28	5	18
675	3	21	9
676	17	27	5
677	4	18	28
678	3	27	17
679	7	30	20
680	7	3	33558
681	21	7	33
682	20	30	7
683	17	5	29
684	5	30	22
685	7352	7340	7366
686	18	6	33
687	41	51	29
688	5	21	33
689	8233	8219	8247
690	5	18	28
691	27	17	5
692	31	19	9
693	64	54	39
694	22	34	7
695	29	7	20
696	27	17	5
697	19	7	31
698	848	834	860
699	36	24	9
700	5	17	27
701	19	29	7
702	30	6	20
703	18	28	7
704	894	3	24641
705	3	17	29
706	27	17	7
707	28	18	7
708	7	17032	3
709	5	29	21
710	29	19	7
711	26	16	4
712	19	29	7
713	17	5	29
714	18	30	8
715	16	3	28
716	16	26	5
717	5830	3	3
718	17	27	5
719	18	28	8
720	10280	10266	10292
721	29	19	5
722	32	6	22
723	7	3	7505
724	17	27	5
725	21	35	9
726	8	3	3
727	3	7	10978
728	29	19	7
729	5	17	29
730	10572	10560	10548
731	36	24	13
732	8	4693	3
733	26	16	4
734	19	29	7
735	7	3	19
736	35	7	25
737	7	19	31
738	18	6	30
739	5	17	29
740	3	22	7
741	3547	3523	3537
742	20	7	32
743	16770	8	3
744	19	29	7
745	27	17	5
746	3	9950	9930
747	17	27	5
748	19	7	31
749	17	5	29
750	30131	3	8
751	28	5	18
752	29	19	7
753	5	21	29
754	5	27	17
755	8	3	25954
756	19	29	5
757	27	5	17
758	30	6	20
759	30	18	8
760	3	16	28
761	30	20	6
762	3	14496	7
763	19	3	33
764	8989	9001	8977
765	7	19	33
766	7	30	20
767	7	30	20
768	3	26	16
769	3	8	22
770	31	5	21
771	31	21	9
772	29	5	19
773	31	5	21
774	8381	8402	8392
775	35	7	25
776	18	6	30
777	8	3	10328
778	17	5	29
779	8906	8892	8880
780	21	7	33
781	15	3	27
782	31	16	6
783	30	4	20
784	7	18	33
785	33	21	7
786	7	19	31
787	30	20	8
788	3	16	28
789	3	13134	326
790	27	5	17
791	18	28	6
792	5	33	23
793	19	7	31
794	612	3	600
795	29	7	21
796	7	19	33
797	29	19	7
798	4	16	28
799	3	33	21
800	17	3	29
801	14696	7	3
802	29	7	19
803	27	3	17
804	3	29134	7
805	7	18	30
806	5	29	21
807	27	17	5
808	7042	7030	7054
809	16	28	5
810	6	28	18
811	17	27	5
812	9176	9188	9166
813	22	32	6
814	5	31	21
815	7	29	21
816	8	3	10461
817	6	30	20
818	28	5	18
819	5	28	18
820	4	28	18
821	1532	1521	1509
822	3	8	13615
823	23	82	9
824	31	43	20
825	18	5	30
826	17	28	5
827	32	20	8
828	5	30	20
829	20	32	9
830	32	21	7
831	3	15683	2741
832	31	21	7
833	7	28	18
834	21	7	36
835	9	34	24
836	10537	3	10525
837	26	16	5
838	3	17803	8
839	5	27	19
840	23	7	31
841	9214	9228	3
842	7	23	35
843	19	7	31
844	16	5	28
845	15	25	5
846	17	27	5
847	19	31	7
848	5	17	29
849	3	27	17
850	4764	4790	4780
851	31	7	21
852	7	29	19
853	3	7	12734
854	17	29	7
855	21	3	9
856	19	7	31
857	15873	3	7
858	31	5	21
859	3	18425	7
860	34	6	24
861	32	5	22
862	7	29	19
863	5	29	19
864	3	3	6578
865	419	433	445
866	24	34	8
867	7535	3	8
868	30	7	20
869	13733	3	8
870	300	313	23025
871	21	7	31
872	5	19	30
873	5	17	28
874	10192	10178	10204
875	27	17	5
876	3	15335	7
877	27	5	17
878	259	236	249
879	19	5	31
880	5	17	28
881	5	17	29
882	21	5	31
883	9319	9305	9333
884	4	28	18
885	20	6	32
886	27	5	17
887	7	19	31
888	21	5	29
889	7	3	19
890	3	27	17
891	6	30	20
892	21	35	7
893	23044	3	8
894	24	6	36
895	18	28	5
896	3	27	17
897	8	3	17846
898	27	17	5
899	28	16	4
900	19	33	5
901	7	31	21
902	3	27	17
903	20	7	32
904	17	27	5
905	5	20	32
906	6	30	22
907	13993	3	8
908	8139	8151	8127
909	5	28	18
910	17	27	5
911	3	3	19010
912	667	679	655
913	30	4	20
914	7	19	30
915	27	17	5
916	10	34	24
917	9766	3	26771
918	21	5	33
919	9616	7	3
920	26	16	5
921	28	5	18
922	30	5	22
923	30	6	20
924	3	13528	8
925	5	18	30
926	31	7	21
927	5	35	22
928	21	31	5
929	21	31	7
930	21	34	7
931	19	7	3
932	28504	3	14761
933	3	18	30
934	19	29	7
935	23	33	7
936	21	7	33
937	5	32	22
938	5	20	32
939	31	7	21
940	31	7	21
941	4579	4565	4593
942	20	7	32
943	22	32	7
944	19	29	7
945	3	19	31
946	4994	7	3
947	7	3	12920
948	27	3	17
949	6	18	30
950	5	17	28
951	8547	8559	8573
952	20	30	8
953	21	7	32
954	15	3	27
955	13292	3	8
956	8879	8893	8905
957	7	21	33
958	7	18	30
959	109	90	121
960	27	17	5
961	30	6	20
962	1695	1683	1707
963	3	27	17
964	3	3	7
965	18	5	30
966	18	28	6
967	3916	3928	3942
968	20	32	7
969	15	27	5
970	5	29	19
971	5	29	19
972	2451	2475	2465
973	4	20	34
974	51	41	25
975	3	15587	7
976	2624	2649	2639
977	19	7	30
978	21	7	32
979	3	17	28
980	7	19	31
981	5	16	28
982	1655	19664	3
983	19	31	7
984	5	27	19
985	30	6	20
986	5	27	18
987	21	31	7
988	16	26	5
989	4	22	36
990	5	17	29
991	29	19	7
992	27	15	5
993	30	7	20
994	34	24	8
995	26	16	5
996	5	18	30
997	5	34	24
998	5	17	29
999	5	18	28
