
Reaction test v3
type	A+B+C
number	1000

max value	65536
unit	us

test	A	B	C
0	594	613	683
1	508	520	587
2	346	358	429
3	752	763	830
4	324	338	405
5	698	710	777
6	291	303	368
7	559	571	644
8	870	882	953
9	695	707	772
10	31	43	114
11	267	279	344
12	130	144	207
13	40	52	100
14	141	153	224
15	309	319	386
16	207	219	286
17	110	122	193
18	269	281	354
19	325	337	408
20	888	900	967
21	925	935	987
22	749	761	832
23	5	17	82
24	717	729	796
25	727	739	805
26	408	420	486
27	864	876	942
28	618	630	695
29	246	258	323
30	355	369	434
31	145	157	224
32	1000	1012	65
33	858	869	943
34	973	985	38
35	876	888	955
36	860	872	937
37	271	283	356
38	762	774	841
39	931	943	1010
40	761	773	840
41	785	797	868
42	434	450	540
43	144	156	222
44	176	188	259
45	763	775	846
46	935	947	1014
47	918	928	1001
48	459	471	537
49	337	349	414
50	704	718	783
51	605	617	688
52	430	442	509
53	86	97	162
54	132	144	211
55	118	130	197
56	108	120	187
57	861	873	940
58	487	499	572
59	922	933	1005
60	839	851	918
61	180	192	263
62	6	18	89
63	590	602	671
64	38	50	117
65	972	984	39
66	341	352	419
67	496	508	580
68	173	185	252
69	164	174	251
70	819	830	897
71	517	529	596
72	271	283	356
73	264	276	347
74	322	334	402
75	543	555	622
76	24	36	107
77	736	748	819
78	515	527	598
79	743	755	822
80	50	62	144
81	734	746	811
82	693	705	770
83	725	737	802
84	273	287	354
85	717	729	796
86	574	586	598
87	352	363	430
88	333	345	416
89	470	482	549
90	961	973	26
91	248	258	325
92	399	413	482
93	363	375	442
94	684	696	763
95	461	472	539
96	194	206	273
97	569	581	648
98	709	721	788
99	167	178	245
100	420	431	505
101	750	788	830
102	535	547	612
103	880	892	957
104	942	954	10
105	384	396	463
106	768	780	845
107	901	913	980
108	579	591	658
109	489	500	567
110	881	892	957
111	57	69	140
112	528	539	613
113	776	788	853
114	343	354	426
115	601	613	684
116	864	875	940
117	645	655	728
118	145	157	222
119	728	740	805
120	886	898	965
121	76	88	155
122	368	380	447
123	926	938	1004
124	933	945	955
125	473	485	552
126	813	823	890
127	648	660	672
128	704	716	783
129	947	959	14
130	42	54	121
131	535	547	614
132	832	844	909
133	56	67	134
134	183	195	260
135	816	828	895
136	523	535	602
137	54	67	139
138	54	66	133
139	156	168	235
140	580	592	657
141	823	834	908
142	246	258	323
143	528	540	605
144	882	894	959
145	502	514	581
146	939	951	6
147	312	324	397
148	725	737	804
149	570	580	647
150	327	339	406
151	9	21	32
152	554	566	631
153	132	144	217
154	612	624	691
155	8	20	87
156	691	703	769
157	259	269	336
158	284	296	372
159	471	483	556
160	118	130	197
161	176	188	254
162	445	457	524
163	994	1006	59
164	843	898	919
165	325	337	404
166	281	293	364
167	785	797	899
168	564	576	647
169	312	324	391
170	758	770	842
171	455	467	532
172	145	159	230
173	425	437	508
174	82	94	161
175	273	285	357
176	601	613	680
177	56	68	135
178	811	823	890
179	116	128	193
180	404	416	481
181	138	150	234
182	917	928	995
183	341	353	420
184	226	238	305
185	964	976	31
186	545	557	628
187	708	719	786
188	998	1008	61
189	69	79	150
190	598	610	681
191	744	756	823
192	641	653	718
193	840	851	921
194	603	615	680
195	755	767	836
196	666	680	747
197	335	347	418
198	460	472	539
199	804	816	883
200	901	913	985
201	308	320	387
202	777	791	858
203	553	564	631
204	1007	1019	70
205	9	22	94
206	742	754	821
207	560	572	641
208	46	58	125
209	323	335	407
210	685	697	768
211	637	649	723
212	494	506	579
213	78	90	157
214	284	296	363
215	164	176	247
216	859	871	936
217	61	73	140
218	714	726	793
219	274	286	358
220	847	859	925
221	48	60	127
222	747	759	826
223	16	28	99
224	770	782	849
225	222	234	301
226	713	723	790
227	788	800	867
228	89	101	168
229	506	517	584
230	451	463	534
231	993	1004	58
232	940	953	5
233	682	682	728
234	928	940	1006
235	766	778	845
236	630	642	708
237	385	397	468
238	738	750	823
239	297	309	376
240	357	369	434
241	728	740	805
242	503	515	582
243	500	511	576
244	745	761	832
245	969	979	14
246	321	333	400
247	91	103	176
248	203	215	280
249	593	605	670
250	97	109	174
251	573	585	652
252	715	727	794
253	28	40	111
254	1012	9	90
255	929	941	1008
256	626	638	704
257	565	577	648
258	672	684	749
259	346	358	423
260	149	161	228
261	446	458	529
262	329	341	414
263	697	709	782
264	451	463	536
265	209	221	286
266	850	862	929
267	355	367	432
268	61	73	140
269	475	487	552
270	264	276	343
271	366	378	445
272	442	454	521
273	881	892	959
274	276	288	355
275	768	780	851
276	284	296	363
277	716	728	795
278	942	954	7
279	646	658	725
280	67	78	152
281	706	718	783
282	981	993	46
283	866	878	944
284	373	385	452
285	723	735	800
286	84	96	169
287	449	461	528
288	646	658	723
289	985	997	50
290	147	159	226
291	215	227	298
292	327	339	406
293	113	125	192
294	91	103	170
295	135	147	242
296	37	48	115
297	702	714	781
298	20	32	103
299	243	255	322
300	474	486	557
301	116	127	194
302	145	157	224
303	691	703	770
304	48	60	133
305	157	169	236
306	860	872	941
307	453	465	532
308	367	379	446
309	445	457	522
310	695	706	775
311	50	60	127
312	895	907	974
313	461	473	539
314	181	193	258
315	52	64	131
316	369	381	454
317	770	782	855
318	877	889	960
319	701	713	780
320	706	718	791
321	494	506	579
322	149	161	228
323	520	532	605
324	768	780	847
325	9	21	94
326	731	743	816
327	925	935	1006
328	250	262	329
329	804	816	883
330	507	521	533
331	222	234	305
332	917	928	995
333	371	382	449
334	823	835	903
335	809	821	886
336	1003	1015	70
337	410	422	487
338	295	307	374
339	238	249	314
340	820	832	899
341	631	643	714
342	384	395	462
343	263	275	344
344	267	279	348
345	183	195	261
346	755	769	832
347	968	1025	33
348	899	911	1011
349	271	283	348
350	503	515	582
351	181	193	258
352	543	555	621
353	725	737	802
354	357	369	442
355	622	633	698
356	281	293	359
357	693	705	779
358	291	303	368
359	209	221	286
360	414	426	496
361	5	17	90
362	149	161	226
363	285	296	368
364	10	22	95
365	442	454	519
366	89	101	174
367	625	637	710
368	196	208	273
369	858	872	945
370	293	305	370
371	380	392	461
372	828	838	905
373	736	748	813
374	746	756	827
375	746	758	823
376	915	928	993
377	91	103	168
378	99	109	176
379	284	296	367
380	601	613	684
381	464	476	543
382	12	24	91
383	638	650	717
384	603	615	681
385	533	545	610
386	14	26	95
387	903	915	982
388	7	18	83
389	940	952	5
390	179	191	265
391	981	993	46
392	564	576	641
393	675	687	753
394	266	278	343
395	530	540	606
396	916	928	1001
397	648	660	733
398	736	748	821
399	425	437	503
400	674	686	751
401	904	916	981
402	892	904	970
403	640	652	719
404	460	474	539
405	218	230	297
406	101	113	178
407	465	477	543
408	519	531	587
409	755	769	834
410	46	58	129
411	153	165	232
412	957	969	24
413	61	73	138
414	485	497	564
415	824	836	901
416	14	26	97
417	235	247	317
418	543	555	622
419	712	723	790
420	584	596	669
421	8	22	89
422	765	777	843
423	165	176	243
424	269	281	348
425	22	34	100
426	764	776	841
427	657	669	740
428	878	890	957
429	193	204	276
430	440	452	523
431	344	356	421
432	185	196	263
433	545	555	622
434	691	703	715
435	700	712	785
436	419	431	498
437	200	212	279
438	498	510	577
439	955	967	20
440	793	805	871
441	24	36	103
442	502	514	580
443	673	683	733
444	543	554	619
445	78	90	157
446	374	386	457
447	329	341	351
448	326	340	407
449	132	144	211
450	781	793	860
451	517	529	596
452	791	803	868
453	867	879	952
454	238	250	315
455	419	429	496
456	192	204	271
457	33	45	116
458	953	965	20
459	423	435	507
460	1019	1030	65
461	702	714	781
462	99	111	184
463	11	25	90
464	552	564	635
465	406	418	484
466	940	950	5
467	427	439	506
468	277	289	360
469	453	465	536
470	114	126	191
471	944	955	10
472	610	622	634
473	611	623	688
474	91	103	170
475	1005	1017	70
476	473	485	556
477	640	652	724
478	757	768	835
479	1011	5	81
480	164	176	243
481	966	978	31
482	38	48	119
483	976	987	39
484	953	965	20
485	42	54	121
486	69	82	186
487	451	463	528
488	57	69	136
489	56	68	135
490	736	748	815
491	335	347	414
492	322	334	405
493	552	564	629
494	539	551	622
495	247	259	328
496	52	64	131
497	695	707	772
498	745	757	828
499	43	55	121
500	54	66	137
501	879	891	958
502	173	185	252
503	867	879	946
504	650	662	729
505	133	143	208
506	753	767	834
507	408	420	487
508	990	1002	55
509	596	608	675
510	389	399	470
511	110	122	193
512	161	173	240
513	901	913	980
514	123	134	204
515	992	1004	57
516	317	335	400
517	302	313	378
518	496	508	575
519	99	110	175
520	382	394	460
521	894	906	973
522	16	28	93
523	837	847	928
524	739	749	823
525	678	690	757
526	425	437	504
527	1004	1016	69
528	435	449	512
529	134	146	213
530	830	842	909
531	257	268	335
532	747	759	824
533	922	936	1006
534	419	434	503
535	571	583	654
536	719	731	796
537	994	1008	61
538	171	183	250
539	577	589	660
540	492	504	571
541	13	25	92
542	605	617	682
543	93	105	170
544	28	40	105
545	479	491	558
546	153	165	236
547	436	448	521
548	470	482	555
549	477	489	556
550	12	24	91
551	81	93	160
552	170	182	255
553	942	952	7
554	467	478	552
555	972	984	39
556	800	812	878
557	121	133	198
558	80	92	157
559	723	734	801
560	494	506	575
561	91	103	176
562	106	118	185
563	626	638	705
564	986	998	53
565	593	607	680
566	138	150	217
567	16	28	101
568	80	92	161
569	253	265	336
570	667	679	746
571	258	273	336
572	1006	1018	73
573	168	180	249
574	786	798	870
575	423	435	506
576	869	881	946
577	869	881	968
578	633	643	716
579	710	722	789
580	850	862	927
581	121	133	198
582	130	142	209
583	914	926	997
584	766	778	845
585	549	561	630
586	61	73	138
587	468	480	551
588	513	525	592
589	665	679	746
590	708	719	786
591	299	311	380
592	502	514	581
593	998	1009	63
594	923	935	1002
595	683	697	764
596	230	242	309
597	529	541	606
598	166	178	245
599	14	26	97
600	172	183	250
601	549	561	628
602	859	871	943
603	380	394	463
604	481	493	558
605	357	369	438
606	991	1003	56
607	76	88	159
608	82	135	159
609	607	621	631
610	951	963	16
611	328	339	406
612	420	432	498
613	798	810	875
614	273	285	352
615	888	902	973
616	878	890	957
617	809	821	888
618	191	205	268
619	546	558	625
620	821	833	904
621	672	684	751
622	457	469	536
623	186	198	265
624	8	20	87
625	862	876	939
626	164	176	243
627	277	289	355
628	697	709	776
629	847	859	926
630	238	250	321
631	198	210	277
632	455	466	531
633	410	422	488
634	921	933	998
635	820	832	899
636	384	396	463
637	624	636	703
638	313	324	391
639	873	885	958
640	766	778	845
641	890	902	935
642	734	746	817
643	86	97	164
644	73	107	155
645	317	327	400
646	501	513	585
647	944	956	9
648	177	223	262
649	903	914	981
650	492	504	571
651	596	610	673
652	689	701	774
653	256	268	335
654	151	163	233
655	352	366	431
656	149	161	228
657	761	774	841
658	256	268	341
659	789	801	872
660	536	548	617
661	466	478	543
662	269	281	348
663	238	249	318
664	770	780	853
665	800	813	880
666	357	369	436
667	382	394	467
668	99	111	182
669	521	533	636
670	703	715	782
671	188	200	267
672	684	696	769
673	388	400	465
674	813	823	874
675	642	654	721
676	415	427	500
677	972	984	37
678	89	101	168
679	416	428	495
680	127	139	206
681	290	301	368
682	487	499	567
683	150	162	227
684	126	138	207
685	175	187	254
686	20	34	105
687	224	236	303
688	226	236	303
689	998	1010	63
690	603	613	667
691	84	94	165
692	736	748	815
693	131	143	210
694	356	368	435
695	931	943	1010
696	596	608	679
697	871	883	954
698	970	982	40
699	674	686	753
700	100	112	179
701	319	331	343
702	986	998	51
703	147	159	226
704	412	424	491
705	84	94	167
706	82	94	104
707	966	978	31
708	198	209	276
709	116	128	195
710	52	64	129
711	375	386	453
712	847	857	924
713	168	180	251
714	753	765	832
715	750	764	827
716	241	253	320
717	910	922	993
718	247	258	325
719	145	157	224
720	646	658	725
721	888	900	973
722	764	776	843
723	948	959	13
724	595	607	678
725	382	394	459
726	335	347	412
727	76	88	153
728	67	79	144
729	862	874	941
730	464	476	543
731	157	169	234
732	808	820	886
733	524	536	603
734	42	54	119
735	284	296	363
736	576	588	653
737	151	163	238
738	766	778	845
739	172	183	250
740	558	570	637
741	18	30	95
742	676	688	753
743	975	987	42
744	955	967	20
745	804	815	887
746	616	628	693
747	738	749	814
748	905	919	984
749	78	90	156
750	789	801	874
751	672	684	749
752	580	592	659
753	919	931	996
754	785	797	864
755	646	658	725
756	1000	1012	63
757	605	617	684
758	490	502	575
759	348	360	429
760	303	315	388
761	179	191	256
762	869	881	946
763	612	626	638
764	601	613	678
765	832	843	910
766	447	459	526
767	650	662	727
768	194	206	271
769	848	860	925
770	258	270	282
771	899	911	978
772	176	188	253
773	849	861	928
774	46	58	70
775	1005	1017	70
776	894	906	973
777	425	437	504
778	485	497	566
779	50	62	127
780	608	620	693
781	285	296	361
782	744	756	823
783	134	146	217
784	676	690	757
785	985	995	48
786	156	168	235
787	30	41	111
788	640	652	772
789	270	281	348
790	548	560	627
791	798	810	877
792	976	988	41
793	471	481	548
794	927	939	1004
795	8	20	87
796	555	567	633
797	177	189	256
798	55	67	132
799	770	782	848
800	456	468	535
801	884	896	969
802	328	340	405
803	196	208	274
804	78	90	155
805	402	414	481
806	606	618	685
807	464	478	544
808	972	984	37
809	316	328	401
810	173	185	258
811	515	527	592
812	644	656	668
813	678	690	757
814	273	285	358
815	374	386	453
816	896	907	981
817	515	526	593
818	879	891	962
819	544	556	623
820	331	343	410
821	952	963	17
822	510	523	590
823	56	67	134
824	153	165	230
825	916	928	995
826	970	982	35
827	29	41	106
828	410	423	490
829	305	317	388
830	710	722	795
831	275	286	360
832	160	172	244
833	644	656	727
834	408	420	485
835	147	159	226
836	1000	1012	65
837	625	637	704
838	270	281	348
839	951	963	18
840	84	96	163
841	295	307	374
842	640	652	722
843	631	643	714
844	76	88	153
845	118	130	203
846	766	778	845
847	130	142	209
848	5	17	82
849	887	921	933
850	631	647	710
851	288	300	365
852	438	449	514
853	994	1006	59
854	493	504	571
855	815	827	924
856	715	727	794
857	1000	1010	65
858	708	720	787
859	95	107	196
860	820	832	899
861	981	993	46
862	699	711	776
863	742	754	819
864	112	124	199
865	568	580	651
866	921	933	998
867	459	470	537
868	189	200	274
869	381	393	460
870	631	643	712
871	678	690	761
872	584	596	663
873	87	99	172
874	243	255	320
875	384	395	462
876	241	253	331
877	316	328	395
878	37	49	118
879	839	851	918
880	326	337	402
881	637	648	715
882	123	135	204
883	753	767	834
884	37	49	114
885	425	437	504
886	419	431	498
887	252	264	331
888	255	268	335
889	346	360	425
890	771	783	850
891	695	707	719
892	431	443	514
893	432	444	511
894	686	700	767
895	547	559	630
896	103	115	186
897	734	746	815
898	449	461	528
899	1004	1016	69
900	824	836	911
901	73	85	151
902	610	622	689
903	772	784	851
904	235	247	259
905	893	905	972
906	864	876	947
907	433	444	508
908	240	252	325
909	730	742	815
910	714	726	799
911	402	414	481
912	907	919	989
913	764	776	843
914	286	298	364
915	181	193	260
916	557	568	633
917	281	293	358
918	717	729	796
919	682	694	759
920	923	935	1000
921	344	360	423
922	194	206	271
923	410	422	488
924	168	180	247
925	431	443	510
926	254	266	331
927	83	95	162
928	314	329	392
929	593	605	678
930	641	653	718
931	661	673	740
932	746	760	829
933	391	403	468
934	615	626	691
935	601	652	678
936	518	530	603
937	365	377	442
938	667	679	752
939	476	487	554
940	376	388	457
941	483	493	559
942	78	90	157
943	186	198	265
944	801	815	880
945	432	444	511
946	419	431	498
947	993	1005	60
948	371	382	449
949	766	778	845
950	74	86	151
951	446	458	524
952	942	952	9
953	316	328	399
