
Reaction test v3
type	A+B+C
number	1000

max value	65536
unit	us

test	A	B	C
0	434	472	523
1	796	849	916
2	748	727	811
3	969	947	27
4	562	618	691
5	116	97	183
6	453	474	536
7	958	945	927
8	891	948	10
9	110	131	253
10	448	427	534
11	866	922	1005
12	224	245	337
13	350	369	465
14	622	656	767
15	625	645	687
16	186	164	272
17	597	656	736
18	814	791	837
19	608	586	694
20	601	736	708
21	712	691	775
22	604	583	674
23	325	380	463
24	737	718	831
25	249	228	313
26	221	264	345
27	914	971	31
28	786	839	918
29	221	242	336
30	386	365	476
31	151	173	259
32	884	904	953
33	448	427	516
34	108	129	192
35	14	35	99
36	1182	1217	1202
37	847	826	915
38	927	971	89
39	895	856	878
40	613	672	752
41	407	460	538
42	731	712	814
43	670	692	780
44	639	620	765
45	772	792	880
46	858	917	999
47	406	425	441
48	423	446	531
49	765	744	853
50	378	355	400
51	620	671	740
52	837	894	978
53	513	534	620
54	669	646	753
55	858	916	995
56	314	361	444
57	1027	1007	72
58	596	574	634
59	411	468	549
60	504	527	610
61	813	792	898
62	43	22	144
63	936	957	18
64	1012	965	52
65	340	318	426
66	283	304	392
67	359	380	472
68	236	217	326
69	540	519	668
70	281	300	392
71	189	212	235
72	215	264	349
73	922	901	1003
74	724	690	741
75	821	872	949
76	65	86	178
77	457	438	522
78	427	408	493
79	56	35	122
80	894	915	991
81	157	138	244
82	829	808	786
83	663	644	733
84	967	16	98
85	666	644	754
86	105	84	171
87	594	617	640
88	755	807	879
89	56	35	120
90	293	271	359
91	748	726	836
92	642	661	778
93	155	176	259
94	344	365	455
95	575	596	684
96	564	543	648
97	50	33	135
98	167	146	255
99	101	80	189
100	313	292	399
101	382	487	519
102	6150	6132	6168
103	397	418	481
104	949	969	18
105	285	260	346
106	834	815	878
107	150	129	215
108	682	703	777
109	138	189	260
110	6	28	90
111	715	737	801
112	785	806	869
113	672	691	707
114	595	614	677
115	317	293	338
116	877	36	16
117	566	548	621
118	149	204	277
119	301	321	379
120	958	978	36
121	144	85	171
122	517	538	640
123	378	395	433
124	255	233	317
125	60	43	21
126	427	483	569
127	393	412	478
128	76	92	151
129	815	794	839
130	934	912	996
131	1006	984	64
132	960	981	46
133	942	962	1006
134	487	508	573
135	57	86	190
136	298	351	423
137	334	315	420
138	159	138	219
139	13	71	142
140	415	397	430
141	504	561	645
142	50	70	154
143	693	718	736
144	610	631	698
145	483	502	579
146	922	943	1009
147	719	754	822
148	641	662	724
149	691	712	774
150	43	64	129
151	977	957	37
152	695	716	782
153	407	473	534
154	270	239	289
155	581	558	643
156	738	779	763
157	123	144	211
158	848	868	940
159	972	951	31
160	320	301	410
161	980	959	35
162	890	869	958
163	517	496	579
164	858	879	947
165	848	827	916
166	368	344	428
167	933	991	56
168	209	233	311
169	956	976	42
170	151	128	214
171	678	699	761
172	643	664	726
173	367	346	478
174	308	328	935
175	41	60	126
176	843	820	908
177	712	691	778
178	599	620	683
179	419	440	503
180	436	455	518
181	815	836	920
182	189	255	312
183	487	508	569
184	962	984	42
185	220	242	306
186	982	961	33
187	54	110	197
188	959	1023	78
189	842	821	906
190	692	670	782
191	358	337	448
192	851	830	916
193	236	215	299
194	862	930	991
195	725	744	807
196	819	840	903
197	449	498	571
198	888	909	976
199	65	44	131
200	877	934	1020
201	1823	1803	1840
202	337	316	400
203	808	787	896
204	774	795	863
205	758	737	822
206	875	896	959
207	479	501	567
208	328	309	344
209	708	730	794
210	873	847	932
211	446	427	514
212	301	354	425
213	911	892	953
214	218	281	342
215	371	392	482
216	88	66	170
217	523	501	607
218	379	357	443
219	238	257	323
220	350	411	484
221	875	895	957
222	392	359	443
223	410	387	432
224	1228	1209	1246
225	557	534	641
226	702	723	790
227	474	495	558
228	295	324	398
229	166	188	250
230	1015	17	92
231	761	740	826
232	61	118	200
233	669	646	731
234	749	812	881
235	158	136	220
236	14	990	60
237	257	235	319
238	333	356	584
239	596	644	706
240	898	919	981
241	612	633	696
242	753	778	834
243	556	605	680
244	109	87	126
245	918	943	964
246	385	440	511
247	1035	18	94
248	948	989	972
249	180	238	313
250	583	643	728
251	452	431	544
252	164	189	212
253	164	221	295
254	71	92	164
255	755	734	845
256	790	866	908
257	925	946	12
258	897	875	959
259	953	972	24
260	876	856	944
261	829	1481	1510
262	427	413	512
263	18	948	39
264	922	942	1030
265	515	498	584
266	658	639	745
267	879	856	971
268	988	966	43
269	197	176	285
270	515	568	646
271	693	716	798
272	49	28	135
273	330	351	460
274	98	71	131
275	892	871	982
276	445	464	541
277	107	86	176
278	925	976	40
279	123	102	213
280	603	623	711
281	255	236	316
282	964	945	925
283	391	412	477
284	690	669	755
285	602	581	666
286	515	534	593
287	848	826	914
288	913	961	23
289	582	604	690
290	698	713	678
291	198	179	268
292	504	561	647
293	810	789	880
294	1014	993	78
295	766	788	850
296	723	706	750
297	200	221	284
298	103	124	188
299	324	303	389
300	800	818	843
301	1179	1159	48
302	700	722	784
303	588	609	683
304	388	366	454
305	1053	1030	31
306	139	118	203
307	864	843	915
308	280	301	364
309	599	578	662
310	604	626	718
311	218	240	306
312	166	201	185
313	26	49	111
314	345	366	428
315	97	76	160
316	228	249	319
317	385	442	525
318	316	373	456
319	708	685	773
320	198	177	265
321	205	181	262
322	849	872	934
323	442	536	568
324	155	170	250
325	732	716	697
326	878	898	962
327	942	963	24
328	733	714	796
329	358	339	425
330	976	999	54
331	191	170	253
332	16	75	144
333	830	885	955
334	90	69	153
335	59	38	138
336	740	719	830
337	924	945	968
338	148	128	209
339	77	52	137
340	914	973	31
341	871	928	1013
342	550	528	638
343	702	680	788
344	739	759	421
345	467	446	553
346	194	218	300
347	93	72	176
348	129	108	215
349	1023	1002	80
350	360	338	448
351	789	768	856
352	139	118	203
353	265	285	361
354	78	96	160
355	755	812	884
356	20	76	159
357	515	494	609
358	409	429	517
359	1653	1670	1688
360	480	501	570
361	166	199	252
362	331	310	396
363	868	847	933
364	674	696	758
365	857	878	940
366	584	605	670
367	159	180	243
368	216	197	273
369	799	778	881
370	98	158	220
371	552	574	636
372	902	881	921
373	869	828	851
374	108	89	176
375	943	922	1013
376	509	531	615
377	401	382	465
378	91	114	135
379	352	409	523
380	352	333	414
381	283	298	265
382	98	76	160
383	283	263	367
384	448	429	504
385	363	384	448
386	544	523	610
387	973	994	51
388	246	270	333
389	702	724	784
390	609	630	698
391	279	298	363
392	913	934	997
393	327	349	415
394	276	302	319
395	223	202	303
396	628	607	693
397	461	477	444
398	509	530	593
399	688	667	752
400	321	303	350
401	389	412	431
402	263	241	329
403	164	140	226
404	862	841	924
405	243	279	346
406	1072	48	116
407	358	337	425
408	841	898	969
409	594	573	666
410	955	936	14
411	549	530	634
412	670	692	754
413	13	34	98
414	241	298	370
415	403	384	488
416	699	678	785
417	714	754	835
418	607	586	695
419	494	518	576
420	306	285	368
421	460	438	524
422	382	435	505
423	144	125	212
424	491	470	557
425	132	155	173
426	408	429	492
427	125	150	209
428	231	209	293
429	12	62	132
430	513	532	602
431	787	808	873
432	79	64	46
433	82	103	164
434	880	852	895
435	20	41	105
436	117	138	223
437	508	487	571
438	237	259	321
439	326	305	389
440	948	989	973
441	848	828	910
442	497	476	592
443	556	579	596
444	756	734	818
445	672	693	756
446	662	639	683
447	167	223	310
448	128	150	171
449	478	536	609
450	543	563	631
451	170	191	279
452	807	864	945
453	903	926	947
454	845	912	972
455	304	284	342
456	510	488	572
457	177	198	263
458	776	756	791
459	598	613	582
460	116	135	198
461	339	318	383
462	142	161	218
463	826	805	889
464	581	560	647
465	32	11	98
466	542	520	608
467	266	287	349
468	192	214	279
469	403	424	488
470	945	924	1010
471	597	656	730
472	564	543	606
473	468	488	548
474	88	67	156
475	253	270	339
476	183	204	282
477	652	633	688
478	131	110	196
479	835	897	955
480	142	211	275
481	42	63	143
482	408	428	518
483	375	358	441
484	440	509	571
485	579	598	556
486	72	129	200
487	608	587	698
488	551	572	636
489	12	1024	90
490	320	373	444
491	397	376	419
492	466	487	550
493	274	253	341
494	438	495	580
495	978	997	54
496	141	118	217
497	215	281	340
498	531	553	619
499	191	212	296
500	912	933	1015
501	757	778	807
502	912	932	994
503	253	218	240
504	246	268	338
505	546	524	634
506	992	31	103
507	777	830	901
508	1002	1022	75
509	789	810	876
510	752	731	818
511	689	711	775
512	639	620	659
513	720	739	805
514	554	577	597
515	739	719	805
516	911	934	996
517	636	657	615
518	290	269	353
519	625	605	683
520	962	984	33
521	356	335	444
522	798	855	928
523	791	770	854
524	108	129	195
525	953	1004	69
526	326	349	370
527	255	240	222
528	955	1012	75
529	770	829	913
530	738	795	878
531	999	46	130
532	28	49	115
533	240	220	302
534	343	322	407
535	85	110	128
536	766	823	909
537	774	795	859
538	223	202	291
539	823	802	859
540	121	173	243
541	828	793	814
542	948	927	18
543	258	315	387
544	489	468	571
545	184	161	246
546	323	346	368
547	612	669	754
548	968	989	56
549	674	731	801
550	945	924	1032
551	510	487	597
552	562	583	677
553	750	729	813
554	35	14	114
555	266	245	336
556	173	194	284
557	141	121	229
558	978	999	91
559	568	621	688
560	944	1001	63
561	682	661	745
562	482	465	547
563	585	636	707
564	943	1000	61
565	396	418	480
566	615	595	666
567	318	357	427
568	401	382	439
569	556	607	680
570	86	65	148
571	205	228	293
572	88	107	127
573	569	589	647
574	825	846	908
575	539	561	518
576	324	391	451
577	169	186	148
578	753	824	886
579	337	404	465
580	838	819	903
581	562	583	675
582	388	446	513
583	108	87	186
584	2408	2390	2421
585	470	528	613
586	438	399	422
587	273	294	372
588	349	371	439
589	892	913	977
590	106	87	194
591	848	871	889
592	837	888	969
593	450	427	535
594	645	706	773
595	949	928	907
596	893	961	10
597	260	241	278
598	978	960	33
599	260	281	347
600	804	783	874
601	996	1018	78
602	456	478	542
603	326	303	390
604	318	381	458
605	103	82	165
606	989	1010	71
607	923	901	989
608	258	280	360
609	318	347	364
610	508	487	572
611	581	561	647
612	62	41	126
613	133	154	217
614	741	726	706
615	776	755	842
616	153	204	279
617	324	305	374
618	493	476	453
619	701	748	805
620	549	568	631
621	575	598	657
622	768	750	729
623	657	635	723
624	461	417	442
625	1007	52	124
626	856	877	969
627	412	480	545
628	404	459	486
629	532	587	667
630	821	878	962
631	405	385	465
632	7	26	105
633	75	149	202
634	405	462	542
635	90	67	109
636	151	208	281
637	839	860	938
638	1017	999	978
639	677	657	736
640	560	585	609
641	134	159	221
642	313	294	378
643	461	482	548
644	777	759	740
645	890	911	976
646	448	469	488
647	763	741	825
648	438	459	522
649	279	300	363
650	316	373	440
651	990	1012	70
652	191	170	254
653	678	747	811
654	927	894	913
655	520	542	606
656	315	295	378
657	31	80	163
658	169	191	253
659	346	369	393
660	12	34	98
661	487	507	573
662	274	252	340
663	836	892	965
664	610	676	734
665	195	173	261
666	993	972	58
667	881	902	1019
668	862	923	1003
669	396	433	484
670	35	54	157
671	918	899	983
672	406	463	536
673	928	909	981
674	1011	1030	70
675	157	178	242
676	622	601	712
677	567	588	653
678	384	405	470
679	412	433	498
680	915	980	35
681	437	414	498
682	689	741	811
683	46	25	115
684	839	860	881
685	909	928	991
686	848	827	912
687	508	487	574
688	138	152	119
689	947	968	19
690	549	528	627
691	435	414	498
692	593	615	677
693	248	228	312
694	515	494	578
695	542	524	612
696	449	470	534
697	299	280	358
698	719	739	797
699	147	169	243
700	507	529	591
701	707	686	772
