
Reaction test v3
type	A+B+C
number	1000

max value	65536
unit	us

test	A	B	C
0	54	9	33
1	50	6	30
2	49	5	27
3	5	27	49
4	3	24	46
5	25	47	5
6	25	47	5
7	47	5	27
8	49	7	29
9	7	29	51
10	6	28	50
11	49	7	29
12	9	31	53
13	7	27	49
14	29	51	9
15	5	27	49
16	27	49	7
17	30	52	10
18	4	26	48
19	27	49	7
20	9	29	50
21	5	27	49
22	29	51	9
23	8	30	52
24	4	24	48
25	11	31	53
26	51	7	31
27	48	5	27
28	7	29	51
29	48	6	28
30	45	3	25
31	10	32	54
32	5	27	49
33	11	31	55
34	49	7	29
35	48	4	26
36	50	8	30
37	45	3	25
38	9	30	52
39	53	5	29
40	50	6	30
41	52	8	30
42	48	5	26
43	7	29	51
44	52	5	32
45	5	26	48
46	49	5	27
47	28	48	6
48	46	3	24
49	51	9	31
50	30	52	10
51	5	27	49
52	29	51	9
53	28	50	8
54	47	5	27
55	5	25	48
56	44	3	24
57	5	27	48
58	3	25	47
59	31	53	11
60	25	47	5
61	48	7	28
62	25	45	3
63	5	27	49
64	8	30	52
65	9	29	53
66	49	5	29
67	7	29	50
68	49	7	29
69	24	46	4
70	9	31	53
71	31	56	9
72	29	51	9
73	53	11	33
74	8	30	52
75	30	52	9
76	45	3	25
77	49	5	27
78	5	27	48
79	7	29	51
80	31	53	11
81	31	53	11
82	3	25	47
83	5	27	49
84	51	9	31
85	49	7	29
86	29	50	9
87	45	3	25
88	47	3	27
89	27	47	5
90	3	25	47
91	49	7	29
92	53	11	33
93	50	8	30
94	10	30	52
95	47	5	27
96	9	30	52
97	5	27	49
98	30	52	10
99	45	3	25
100	6	28	50
101	47	3	25
102	27	49	7
103	7	29	51
104	47	5	27
105	49	5	27
106	7	28	50
107	47	5	27
108	51	7	29
109	50	7	30
110	45	3	25
111	49	7	29
112	7	29	51
113	29	51	9
114	47	3	25
115	28	50	8
116	27	47	7
117	5	27	49
118	8	30	52
119	45	3	25
120	3	25	46
121	6	26	50
122	7	29	51
123	27	49	7
124	48	6	28
125	29	49	7
126	50	8	30
127	6	28	50
128	27	47	7
129	52	8	32
130	7	28	50
131	50	6	28
132	11	33	55
133	29	49	7
134	9	31	52
135	30	52	9
136	47	5	27
137	8	30	52
138	30	52	10
139	46	3	26
140	25	46	5
141	49	5	29
142	6	28	50
143	29	51	9
144	27	47	7
145	49	7	29
146	25	47	5
147	27	49	7
148	51	7	29
149	48	6	28
150	53	9	33
151	7	29	51
152	9	31	53
153	29	49	7
154	9	30	52
155	47	5	27
156	25	47	5
157	28	50	8
158	31	53	11
159	49	7	29
160	5	27	49
161	49	5	27
162	5	27	49
163	9	30	52
164	9	31	53
165	26	48	6
166	5	27	49
167	5	27	49
168	51	7	29
169	7	29	51
170	6	28	50
171	29	51	9
172	29	49	9
173	49	7	29
174	52	3	28
175	25	46	5
176	27	49	7
177	7	29	51
178	6	28	50
179	27	49	7
180	9	29	52
181	29	49	7
182	4	26	48
183	25	47	5
184	47	3	27
185	7	28	50
186	31	51	11
187	49	5	29
188	26	48	6
189	28	48	8
190	30	50	8
191	31	52	11
192	28	48	7
193	50	9	30
194	27	49	7
195	50	9	30
196	48	5	27
197	47	5	27
198	30	52	10
199	7	29	50
200	8	30	52
201	25	47	5
202	9	30	52
203	24	46	4
204	7	29	51
205	53	9	31
206	10	30	54
207	30	52	10
208	47	5	27
209	50	8	30
210	30	52	10
211	46	3	25
212	45	3	25
213	52	8	30
214	10	30	54
215	52	9	32
216	11	34	58
217	53	9	33
218	11	33	54
219	7	27	49
220	26	48	6
221	27	49	7
222	50	8	30
223	29	49	7
224	31	52	11
225	10	32	54
226	49	7	29
227	50	7	29
228	27	49	7
229	3	25	47
230	50	6	28
231	49	5	29
232	11	31	54
233	53	11	33
234	25	45	3
235	9	31	53
236	28	50	8
237	48	6	28
238	27	49	7
239	52	9	32
240	51	7	29
241	11	33	54
242	45	3	25
243	31	53	11
244	46	4	26
245	27	49	7
246	11	33	55
247	25	47	5
248	49	5	29
249	25	47	5
250	3	25	47
251	47	5	27
252	50	7	30
253	8	30	52
254	27	49	7
255	49	5	29
256	27	47	5
257	52	10	32
258	7	27	49
259	52	11	32
260	48	4	26
261	53	11	33
262	9	30	52
263	53	9	31
264	30	50	8
265	3	24	46
266	3	25	47
267	5	25	47
268	47	5	27
269	9	31	53
270	30	52	10
271	50	8	30
272	5	25	47
273	5	27	49
274	52	10	32
275	48	6	28
276	50	8	30
277	29	51	9
278	50	8	30
279	31	53	11
280	29	49	7
281	6	28	50
282	51	5	29
283	5	27	49
284	25	45	3
285	52	11	32
286	50	8	30
287	48	6	28
288	52	8	32
289	25	45	3
290	9	31	53
291	9	31	52
292	7	28	50
293	24	44	3
294	47	3	25
295	7	29	51
296	27	49	7
297	28	48	6
298	47	5	27
299	45	3	25
300	9	31	52
301	3	25	47
302	9	31	53
303	25	47	5
304	9	29	52
305	5	27	48
306	51	9	31
307	47	5	27
308	49	7	29
309	27	49	7
310	5	27	49
311	5	26	48
312	50	6	28
313	50	6	30
314	9	31	52
315	9	31	53
316	53	11	33
317	49	7	29
318	27	49	7
319	52	10	32
320	51	9	31
321	48	5	28
322	5	25	47
323	6	28	50
324	30	52	10
325	47	3	25
326	32	52	10
327	28	50	8
328	27	48	7
329	5	27	49
330	5	27	49
331	47	5	27
332	7	29	50
333	29	51	9
334	8	28	52
335	25	45	3
336	7	29	51
337	27	49	7
338	27	47	5
339	51	9	31
340	3	25	47
341	5	27	49
342	5	27	49
343	26	48	6
344	8	30	52
345	5	25	48
346	53	11	33
347	3	25	47
348	9	31	53
349	50	8	30
350	46	3	24
351	8	28	52
352	3	24	46
353	31	53	11
354	38	60	16
355	25	47	5
356	3	25	47
357	8	30	52
358	29	51	9
359	7	27	51
360	5	27	48
361	8	30	52
362	29	51	9
363	47	5	27
364	7	29	51
365	31	51	9
366	25	45	5
367	24	46	4
368	27	49	7
369	46	3	25
370	30	50	10
371	5	27	49
372	7	27	51
373	9	31	53
374	7	27	49
375	51	7	29
376	7	28	50
377	49	7	29
378	9	31	52
379	3	25	47
380	28	50	8
381	53	9	33
382	50	7	29
383	28	50	8
384	25	47	5
385	50	8	30
386	24	46	4
387	25	45	3
388	31	51	9
389	30	52	10
390	9	31	53
391	48	5	28
392	8	28	50
393	26	48	6
394	30	52	10
395	27	49	7
396	52	9	32
397	25	47	5
398	29	51	9
399	28	50	8
400	48	5	27
401	53	9	33
402	49	7	29
403	5	27	54
404	31	51	9
405	8	30	52
406	49	5	29
407	9	31	56
408	48	4	26
409	27	49	7
410	48	7	28
411	7	29	50
