
Reaction test v3
type	A+B+C
number	1000

max value	65536
unit	us

test	A	B	C
0	23	43	3
1	25	45	3
2	5	25	49
3	25	47	5
4	10	30	54
5	34	54	9
6	47	3	25
7	52	8	32
8	28	48	7
9	45	3	25
10	6	28	50
11	48	6	28
12	52	11	32
13	25	47	5
14	29	51	9
15	5	27	49
16	7	28	50
17	26	48	6
18	49	5	27
19	50	7	30
20	25	45	3
21	5	27	49
22	49	5	29
23	5	25	48
24	50	8	30
25	8	28	50
26	31	51	11
27	28	50	8
28	3	25	47
29	50	9	30
30	29	51	9
31	49	5	27
32	27	49	7
33	3	24	46
34	31	52	11
35	4	26	48
36	27	49	5
37	29	50	9
38	46	3	25
39	9	31	52
40	27	49	5
41	10	32	54
42	47	3	27
43	47	5	27
44	28	48	6
45	3	25	47
46	25	47	5
47	10	30	52
48	49	5	27
49	25	45	3
50	31	53	11
51	49	5	27
52	30	52	10
53	49	7	29
54	51	7	31
55	7	29	50
56	29	51	9
57	10	32	54
58	11	32	54
59	30	52	10
60	53	9	33
61	52	8	30
62	48	3	28
63	6	28	50
64	5	27	49
65	51	9	31
66	3	25	47
67	47	5	27
68	8	30	52
69	51	9	31
70	8	28	50
71	46	3	25
72	9	29	53
73	27	49	7
74	8	30	52
75	30	52	10
76	25	47	5
77	5	27	49
78	27	49	7
79	10	32	54
80	51	7	31
81	50	6	30
82	7	29	51
83	28	50	8
84	3	25	47
85	8	30	52
86	29	49	7
87	50	8	30
88	51	9	31
89	30	52	10
90	28	50	8
91	8	28	50
92	9	31	53
93	30	52	10
94	51	7	31
95	50	7	30
96	8	28	52
97	46	4	26
98	25	47	5
99	48	6	28
100	31	51	9
101	29	50	9
102	27	48	7
103	32	52	10
104	29	51	9
105	10	30	52
106	50	6	28
107	8	28	52
108	7	29	51
109	5	27	52
110	25	47	5
111	11	33	55
112	10	30	54
113	11	33	55
114	7	29	51
115	31	51	9
116	28	50	8
117	3	25	48
118	47	3	25
119	28	50	8
120	7	29	51
121	50	8	30
122	50	7	30
123	52	10	32
124	9	29	51
125	47	3	25
126	46	5	26
127	9	31	53
128	3	25	47
129	25	45	3
130	51	7	29
131	8	30	52
132	30	52	10
133	33	53	11
134	49	7	29
135	10	30	54
136	27	49	7
137	6	28	50
138	25	47	5
139	29	51	9
140	3	24	46
141	52	8	32
142	7	28	50
143	7	29	51
144	49	7	29
145	49	7	29
146	46	3	25
147	3	25	46
148	29	51	9
149	6	26	50
150	53	9	33
151	49	5	29
152	25	47	5
153	28	50	6
154	31	53	11
155	3	25	47
156	27	47	5
157	8	30	52
158	6	26	48
159	30	50	8
160	6	28	50
161	7	29	51
162	27	49	7
163	52	8	32
164	25	47	5
165	30	50	9
166	47	5	27
167	3	25	47
168	49	7	29
169	25	47	5
170	25	47	5
171	5	27	49
172	5	27	49
173	52	10	32
174	29	51	9
175	51	9	31
176	25	47	5
177	3	25	47
178	5	25	47
179	48	6	28
180	25	47	5
181	5	25	49
182	47	3	25
183	9	31	52
184	25	47	5
185	31	51	9
186	25	47	5
187	5	25	49
188	6	28	50
189	27	48	7
190	7	27	51
191	45	3	25
192	3	25	47
193	11	31	53
194	53	11	33
195	46	5	26
196	29	50	9
197	7	29	51
198	30	52	10
199	48	7	28
200	7	27	50
201	50	8	30
202	5	27	49
203	5	26	48
204	28	50	8
205	24	46	4
206	3	24	46
207	10	32	54
208	5	25	48
209	53	11	33
210	47	3	25
211	7	29	50
212	7	29	51
213	8	28	50
214	28	50	8
215	3	25	47
216	51	7	31
217	25	47	5
218	11	33	54
219	51	7	29
220	5	26	48
221	8	30	52
222	45	3	25
223	49	7	29
224	8	30	52
225	53	9	33
226	9	30	52
227	51	9	31
228	52	9	32
229	7	29	51
230	28	50	8
231	8	28	50
232	7	29	51
233	3	25	46
234	50	8	30
235	50	7	30
236	5	27	49
237	25	46	5
238	51	9	31
239	27	49	7
240	10	30	54
241	29	51	9
242	47	5	27
243	29	49	7
244	49	5	29
245	52	8	30
246	30	50	8
247	8	28	52
248	26	48	6
249	47	5	27
250	7	29	51
251	10	32	54
252	26	48	6
253	49	7	29
254	6	28	50
255	49	5	27
256	3	25	47
257	27	47	5
258	5	25	49
259	9	31	53
260	11	33	55
261	48	7	28
262	27	49	7
263	29	50	9
264	44	3	24
265	48	5	27
266	51	9	31
267	47	5	27
268	9	29	51
269	47	5	27
270	49	5	29
271	50	7	29
272	4	26	48
273	28	50	8
274	47	3	27
275	3	25	47
276	10	30	54
277	47	3	25
278	30	52	10
279	27	49	7
280	5	27	49
281	46	3	26
282	5	27	49
283	27	49	7
284	27	49	7
285	29	51	9
286	8	30	52
287	25	47	5
288	31	53	11
289	31	53	11
290	47	3	25
291	47	3	27
292	5	25	49
293	47	3	27
294	27	47	5
295	31	53	11
296	25	47	5
297	50	7	28
298	24	46	4
299	45	3	25
300	31	53	11
301	3	25	46
302	52	11	32
303	45	3	25
304	7	28	50
305	32	52	10
306	51	9	31
307	27	49	7
308	45	3	25
309	11	31	53
310	30	50	8
311	25	46	5
312	50	8	30
313	4	26	48
314	7	27	49
315	48	6	28
316	27	49	7
317	51	9	31
318	47	5	27
319	7	27	50
320	5	27	48
321	29	50	9
322	50	6	30
323	48	6	28
324	53	11	33
325	5	27	49
326	25	47	5
327	30	50	8
328	5	29	55
329	49	5	29
330	5	26	48
331	50	6	28
332	28	52	4
333	9	31	53
334	29	49	7
335	50	8	30
336	32	52	10
337	49	7	29
338	4	24	48
339	25	45	3
340	30	52	10
341	32	52	11
342	29	51	9
343	45	3	25
344	50	8	30
345	50	8	30
346	49	7	29
347	27	48	7
348	51	9	31
349	47	3	27
350	3	24	46
351	48	5	27
352	7	29	51
353	7	29	51
354	6	28	50
355	51	7	31
356	7	29	51
357	50	6	30
358	49	5	29
359	5	27	49
360	29	51	9
361	47	5	27
362	7	29	50
363	29	51	9
364	6	28	50
365	29	51	9
366	25	47	5
367	5	27	49
368	3	25	47
369	3	27	51
370	7	29	50
371	5	25	47
372	30	52	10
373	52	10	32
374	8	30	52
375	9	31	52
376	3	25	46
377	51	7	31
378	30	56	10
379	10	30	54
380	30	52	10
381	7	27	49
382	8	28	52
383	9	31	52
384	3	25	47
385	31	51	11
386	31	51	9
387	11	31	53
