
Reaction test v3
type	A+B+C
number	1000

max value	65536
unit	us

test	A	B	C
0	138	160	178
1	781	799	819
2	463	483	503
3	523	543	563
4	165	185	203
5	466	484	504
6	558	576	596
7	401	421	439
8	804	822	840
9	258	278	296
10	374	392	412
11	272	292	310
12	284	304	323
13	576	596	614
14	515	533	553
15	860	878	898
16	312	332	350
17	541	559	579
18	629	647	667
19	598	616	636
20	502	520	540
21	451	471	489
22	312	330	350
23	624	644	662
24	1009	1027	7
25	534	552	572
26	823	841	861
27	256	276	294
28	357	377	395
29	560	578	598
30	661	680	700
31	234	252	272
32	507	527	547
33	470	490	508
34	174	194	212
35	1011	5	25
36	693	711	731
37	206	224	244
38	654	672	692
39	320	340	358
40	673	691	711
41	395	415	435
42	929	949	967
43	607	625	645
44	887	907	925
45	596	616	634
46	970	988	1008
47	828	846	866
48	290	308	328
49	575	595	613
50	389	409	427
51	709	728	748
52	925	944	964
53	601	619	643
54	342	362	380
55	592	610	630
56	977	995	1015
57	342	362	382
58	393	413	433
59	365	385	403
60	76	94	114
61	24	44	64
62	43	63	81
63	980	998	1018
64	333	351	369
65	112	130	150
66	573	591	611
67	404	424	442
68	989	1009	1027
69	629	648	668
70	39	57	77
71	510	528	548
72	373	393	413
73	852	872	892
74	944	964	982
75	713	732	752
76	234	254	272
77	890	910	928
78	96	116	135
79	177	196	216
80	596	616	634
81	686	706	724
82	521	539	557
83	119	137	157
84	108	128	147
85	243	274	302
86	432	452	470
87	821	839	859
88	412	430	450
89	1000	1018	1038
90	697	715	735
91	777	795	815
92	946	966	990
93	834	852	872
94	933	951	971
95	536	554	574
96	717	737	763
97	87	105	125
98	532	550	570
99	397	415	437
100	845	865	883
101	675	693	713
102	937	955	975
103	1004	1035	7
104	693	713	733
105	288	306	326
106	142	162	180
107	290	308	328
108	294	312	332
109	123	141	161
110	532	552	570
111	731	749	769
112	389	409	427
113	221	239	259
114	302	322	340
115	320	340	358
116	847	865	885
117	106	126	144
118	914	934	952
119	567	587	607
120	294	317	341
121	82	100	120
122	766	786	804
123	268	286	306
124	590	608	628
125	131	151	169
126	299	319	339
127	240	258	278
128	646	666	684
129	303	323	341
130	895	913	933
131	584	602	622
132	716	736	754
133	862	882	900
134	142	162	182
135	474	492	512
136	402	422	440
137	189	207	227
138	95	115	133
139	284	304	322
140	230	250	270
141	78	96	116
142	71	91	109
143	421	439	459
144	554	572	592
145	269	289	308
146	356	374	394
147	938	958	976
148	245	263	283
149	937	957	975
150	997	1017	1035
151	828	848	866
152	953	971	991
153	57	77	95
154	323	343	361
155	402	422	440
156	871	891	909
157	404	422	442
158	484	504	523
159	565	584	604
160	738	758	777
161	1010	1030	9
162	721	739	759
163	570	588	608
164	853	873	891
165	401	421	439
166	131	151	169
167	490	510	528
168	130	148	168
169	706	724	744
170	837	857	877
171	644	662	682
172	328	346	366
173	841	861	879
174	614	632	652
175	716	736	754
176	232	250	270
177	427	447	465
178	121	139	157
179	786	806	824
180	400	418	438
181	337	355	375
182	1008	6	26
183	899	917	937
184	104	123	143
185	376	396	414
186	151	171	190
187	893	913	933
188	331	349	369
189	228	246	266
190	849	869	887
191	522	542	560
192	1012	5	25
193	176	194	214
194	84	102	122
195	181	200	220
196	100	118	138
197	733	751	771
198	813	831	851
199	702	722	740
200	543	562	582
201	700	720	739
202	28	46	66
203	650	674	694
204	636	656	674
205	336	355	375
206	865	883	903
207	813	833	852
208	385	405	423
209	723	741	761
210	903	921	939
211	618	638	658
212	683	703	723
213	823	843	861
