
Reaction test v3
type	A+B+C
number	1000

max value	65536
unit	us

test	A	B	C
0	399	415	395
1	295	270	276
2	593	602	598
3	176	292	171
4	767	759	786
5	930	975	936
6	348	377	353
7	202	191	183
8	933	937	960
9	408	380	386
10	49	30	26
11	149	121	125
12	396	391	410
13	255	277	251
14	924	896	902
15	644	671	648
16	938	933	957
17	606	594	789
18	1007	1012	153
19	156	147	171
20	808	803	828
21	341	316	323
22	517	489	495
23	279	285	275
24	831	806	810
25	87	116	92
26	659	678	665
27	660	633	640
28	430	435	454
29	273	291	286
30	480	457	461
31	30	26	36
32	337	321	341
33	621	616	638
34	185	167	177
35	883	904	879
36	977	972	995
37	196	205	192
38	626	620	647
39	435	431	454
40	231	258	238
41	512	508	535
42	392	412	398
43	900	875	882
44	316	325	321
45	939	910	916
46	592	580	575
47	375	370	395
48	195	199	218
49	459	454	478
50	704	709	728
51	570	565	592
52	515	511	530
53	513	485	491
54	496	507	502
55	241	251	1273
56	156	125	137
57	471	485	466
58	369	384	364
59	423	427	446
60	821	844	827
61	491	483	495
62	526	532	553
63	727	721	746
64	204	212	222
65	87	118	93
66	222	245	227
67	961	982	967
68	585	581	606
69	664	685	674
70	399	374	378
71	903	898	74
72	1011	3	1016
73	785	758	767
74	205	176	184
75	978	1003	985
76	609	605	630
77	295	275	305
78	472	468	487
79	28	32	55
80	129	154	133
81	838	834	852
82	111	107	125
83	534	515	520
84	187	183	202
85	661	647	642
86	675	652	648
87	243	247	261
88	433	426	447
89	302	328	306
90	1021	1015	6
91	433	412	418
92	872	867	894
93	188	199	193
94	374	379	395
95	564	582	568
96	981	976	1005
97	248	223	227
98	826	822	849
99	512	507	532
100	821	817	836
101	361	357	384
102	774	749	753
103	309	282	289
104	757	761	776
105	1013	999	994
106	579	604	585
107	995	991	1002
108	920	890	896
109	541	522	528
110	966	956	985
111	915	905	934
112	810	801	833
113	789	801	784
114	568	539	543
115	123	134	129
116	86	61	65
117	217	204	198
118	307	301	322
119	128	103	109
120	365	388	369
121	60	56	85
122	213	194	201
123	559	545	568
124	348	374	354
125	60	56	248
126	962	945	951
127	810	833	806
128	162	143	148
129	35	39	54
130	658	633	639
131	237	242	262
132	838	834	857
133	877	851	857
134	803	798	825
135	144	163	139
136	321	344	328
137	28	24	45
138	437	432	451
139	390	365	371
140	137	120	116
141	209	198	216
142	675	650	655
143	651	647	675
