
Reaction test v3
type	A+B+C
number	1000

max value	65536
unit	us

test	A	B	C
0	523	544	564
1	835	853	873
2	67	87	105
3	64	84	103
4	869	887	907
5	629	647	666
6	552	572	591
7	980	998	1018
8	650	668	688
9	209	228	248
10	168	188	206
11	614	632	652
12	419	437	457
13	361	380	398
14	56	76	94
15	10	30	49
16	365	385	403
17	903	921	941
18	654	672	690
19	266	286	304
20	471	489	509
21	711	731	750
22	796	816	834
23	374	394	414
24	50	70	88
25	303	321	341
26	592	612	630
27	869	887	907
28	230	248	268
29	348	366	384
30	976	994	1012
31	755	773	791
32	554	572	592
33	365	385	403
34	423	441	461
35	902	920	940
36	228	246	266
37	314	334	353
38	648	668	686
39	507	527	545
40	291	310	330
41	620	638	658
42	875	893	913
43	307	325	345
44	202	220	240
45	813	833	851
46	389	407	427
47	779	797	817
48	506	526	544
49	910	928	948
50	905	923	943
51	920	940	958
52	855	873	893
53	216	236	254
54	758	776	796
55	290	308	328
56	307	327	345
57	78	98	116
58	555	573	593
59	281	301	319
60	322	340	358
61	547	565	585
62	625	643	663
63	92	110	130
64	750	768	788
65	412	430	450
66	673	691	711
67	570	588	608
68	793	811	831
69	550	568	588
70	459	477	497
71	37	57	75
72	243	261	281
73	828	848	866
74	142	160	180
75	12	30	50
76	765	783	803
77	306	326	345
78	185	205	223
79	752	770	788
80	43	61	81
81	82	102	120
82	845	863	883
83	416	436	456
84	626	646	664
85	209	227	251
86	1003	1023	4
87	862	880	898
88	507	525	545
89	399	417	437
90	609	629	653
91	286	304	323
92	369	387	1391
93	597	615	633
94	804	824	842
95	834	852	872
96	997	1015	1035
97	370	389	409
98	50	70	88
99	432	450	470
100	7	25	49
101	541	561	579
102	858	878	896
103	421	441	459
104	135	155	173
105	806	826	844
106	516	534	554
107	611	629	649
108	594	614	632
109	138	156	176
110	728	746	766
111	687	705	725
112	680	700	718
113	873	891	909
114	331	349	369
115	181	201	219
116	431	451	471
117	421	439	459
118	522	540	560
119	57	75	95
120	660	678	698
121	376	394	412
122	177	197	215
123	616	634	654
124	335	355	373
125	927	947	965
126	695	713	733
127	687	705	725
128	135	153	173
129	251	269	289
130	376	394	414
131	730	750	768
132	543	561	581
133	90	108	128
134	288	306	326
135	74	93	111
136	91	109	127
137	528	546	566
138	72	90	110
139	522	546	570
140	618	638	656
141	634	654	673
142	599	619	638
143	492	511	531
144	186	204	224
145	61	79	99
146	476	496	514
147	42	62	81
148	132	150	170
149	433	451	471
150	614	634	652
151	796	815	835
152	429	447	467
153	162	181	201
154	198	216	236
155	402	422	440
156	434	454	472
157	61	79	97
158	1004	1022	5
159	502	522	540
160	123	143	162
161	204	222	242
162	170	190	208
163	86	104	124
164	719	737	757
165	118	136	156
166	684	702	722
167	511	529	549
168	543	561	579
169	790	808	828
170	591	610	628
171	344	362	382
172	841	861	879
173	858	876	896
174	738	756	776
175	637	655	675
176	830	848	868
177	205	223	243
178	190	208	228
179	596	616	634
180	453	471	491
181	365	383	403
182	822	841	861
183	642	662	682
184	938	956	976
185	464	482	501
186	226	244	264
187	140	158	178
188	408	426	446
189	510	528	548
190	524	542	562
191	847	867	885
192	848	868	886
193	1006	1024	5
194	477	495	515
195	521	541	559
196	535	553	571
197	60	80	98
198	134	152	172
199	14	32	52
200	314	334	352
201	988	1008	1026
202	686	704	724
203	985	1003	1023
204	52	70	90
205	607	625	643
206	104	122	142
207	1007	1026	7
208	535	554	572
209	420	438	458
210	346	366	385
211	779	797	817
212	175	195	213
213	134	152	172
214	736	754	774
215	821	841	859
216	500	518	540
217	127	147	165
218	37	57	77
219	832	852	872
220	414	432	452
221	181	199	219
222	555	575	593
223	149	167	187
224	824	844	862
225	168	186	206
226	299	317	337
227	749	769	787
228	408	426	445
229	306	324	344
230	777	797	815
231	408	428	446
232	468	486	506
233	372	390	410
234	650	670	688
235	599	618	638
236	350	368	386
237	327	347	365
238	101	119	139
239	243	263	281
240	344	362	382
241	110	128	148
242	976	994	1014
243	870	888	908
244	297	315	335
245	744	762	782
246	489	507	527
247	881	901	919
248	83	103	123
249	382	400	420
250	1012	7	27
251	230	250	268
252	612	630	648
253	740	760	778
254	916	936	954
255	256	274	294
256	755	775	795
257	888	906	926
258	333	353	373
259	306	325	345
260	434	452	472
261	76	96	114
262	624	642	667
263	916	936	954
264	58	78	96
265	569	589	607
266	395	415	433
267	575	593	613
268	50	68	86
269	943	961	981
270	86	104	124
271	221	244	264
272	941	959	977
273	106	132	152
274	682	705	725
275	676	694	714
276	127	145	165
277	116	136	154
278	586	608	628
279	436	456	474
280	967	987	1005
281	500	518	537
282	680	698	718
283	310	330	348
284	729	747	767
285	399	419	439
286	18	36	56
287	999	1017	1037
288	613	631	651
289	414	434	452
290	346	364	384
291	121	141	159
292	24	44	62
293	663	682	702
294	933	951	971
295	534	552	572
296	963	981	1001
297	473	493	511
298	729	749	767
299	609	629	647
300	819	839	857
301	351	369	389
302	736	755	773
303	322	340	358
304	837	855	875
305	867	886	904
306	10	28	48
307	443	463	481
308	331	351	369
309	41	59	79
310	652	670	690
311	93	111	131
312	70	90	108
313	299	317	337
314	513	533	552
315	693	712	732
316	978	998	1016
317	421	439	458
318	321	341	360
319	382	400	418
320	436	456	474
321	897	915	935
322	881	901	919
323	196	215	235
324	243	263	281
325	605	623	643
326	661	679	697
327	712	730	750
328	477	495	515
329	803	823	841
330	196	214	234
331	205	225	243
332	43	63	81
333	376	396	416
334	286	304	324
335	517	535	555
336	500	518	538
337	262	282	300
338	241	259	279
339	18	38	57
340	965	983	1003
341	766	784	804
342	313	331	351
343	597	617	635
344	931	949	969
345	391	409	429
346	190	210	228
347	549	567	587
348	22	42	60
349	42	62	80
350	229	248	268
351	528	546	566
352	427	445	463
353	103	121	141
354	185	203	223
355	258	276	294
356	815	833	853
357	630	650	668
358	940	960	978
359	835	853	873
360	967	985	1005
361	959	977	997
362	344	362	382
363	464	484	502
364	398	418	437
365	911	929	949
366	719	739	757
367	661	680	700
368	365	385	403
369	554	572	592
370	262	282	300
371	995	1013	1033
372	995	1015	1033
373	20	38	58
374	318	338	356
375	228	247	267
376	138	157	177
377	217	237	255
378	490	508	526
379	520	538	558
380	319	338	358
381	25	43	63
382	204	222	242
383	961	981	1001
384	735	753	771
385	241	259	279
386	164	184	202
387	110	130	150
388	950	968	988
389	463	481	501
390	695	715	733
391	245	263	283
392	965	985	1003
393	547	567	585
394	254	273	293
395	550	568	588
396	958	978	996
397	410	428	448
398	404	424	443
399	820	840	859
400	648	668	686
401	419	437	457
402	935	955	973
403	410	430	450
404	903	921	941
405	507	527	546
406	654	672	692
407	164	184	202
408	822	840	860
409	278	298	317
410	622	640	660
411	796	814	832
412	804	824	842
413	687	707	725
414	68	88	106
415	138	158	176
416	480	500	518
417	749	769	787
418	55	75	93
419	42	60	80
420	48	66	86
421	820	838	858
422	554	572	592
423	56	74	94
424	605	623	643
425	603	621	639
426	262	282	300
427	541	559	579
428	73	91	111
429	538	558	576
430	985	1005	1024
431	907	925	945
432	35	53	73
433	833	853	872
434	328	346	366
435	957	977	995
436	451	470	490
437	522	542	560
438	89	107	125
439	78	96	116
440	788	806	826
441	214	233	253
442	550	570	588
443	765	785	803
444	71	89	109
445	483	503	521
446	775	793	813
447	336	356	375
448	590	610	628
449	162	182	201
450	209	227	247
451	547	565	583
452	609	627	647
453	40	58	78
454	800	818	838
455	616	636	654
456	549	569	589
457	211	229	247
458	850	868	888
459	455	475	495
460	188	208	226
461	445	463	483
462	1072	1090	1110
463	793	811	831
464	492	510	530
465	978	996	1014
466	78	98	117
467	586	605	625
468	322	342	360
469	902	920	938
470	1011	1029	8
471	954	974	992
472	157	177	195
473	824	842	862
474	803	823	842
475	123	143	161
476	326	344	364
477	246	266	284
478	318	338	356
479	268	286	304
480	804	824	842
481	136	154	174
482	598	618	638
483	308	326	346
484	818	838	8
485	160	180	199
486	676	696	714
487	277	297	315
488	241	259	279
489	453	471	491
490	946	964	984
491	251	269	289
492	761	779	799
493	623	641	661
494	284	304	322
495	954	974	992
496	965	983	1002
497	8	27	47
498	920	940	958
499	254	274	292
500	101	119	139
501	138	156	176
502	584	602	620
503	280	298	318
504	792	812	832
505	952	970	990
506	101	119	139
507	398	418	436
508	425	443	462
509	127	145	165
510	671	689	709
511	927	947	965
512	408	428	446
513	1013	5	25
514	922	942	960
515	805	823	843
516	688	706	724
517	626	644	664
518	198	217	237
519	660	680	698
520	155	175	193
521	858	878	896
522	232	252	270
523	787	807	825
524	239	259	278
525	84	102	120
526	461	481	499
527	968	986	1006
528	373	391	411
529	952	972	990
530	491	509	529
531	834	854	872
532	359	379	399
533	324	342	362
534	904	923	943
535	978	998	1016
536	327	345	365
537	511	531	549
538	753	771	791
539	198	216	236
540	588	608	627
541	956	976	996
542	230	248	268
543	551	569	587
544	841	859	879
545	953	972	992
546	264	282	302
547	790	808	828
548	635	653	673
549	209	227	245
550	297	317	335
551	380	398	418
552	374	394	412
553	168	186	206
554	198	218	237
555	989	1007	1027
556	395	413	431
557	483	502	522
558	151	169	189
559	282	300	320
560	329	349	368
561	805	823	843
562	129	149	167
563	211	229	249
564	727	745	765
565	918	936	956
566	943	961	979
567	485	505	523
568	637	655	675
569	738	756	776
570	569	589	607
571	558	576	594
572	389	409	427
573	579	597	617
574	303	323	343
575	115	135	153
576	474	492	512
577	616	634	654
578	526	544	564
579	666	684	704
580	714	732	752
581	307	325	345
582	627	645	665
583	907	925	945
584	639	659	677
585	123	141	161
586	603	623	641
587	218	236	256
588	806	826	844
589	121	140	160
590	501	519	539
591	695	713	733
592	967	985	1005
593	489	507	527
594	447	465	485
595	29	47	67
596	272	292	310
597	616	636	654
598	31	50	70
599	648	668	686
600	11	31	49
601	245	263	283
602	389	407	427
603	988	1008	1026
604	918	936	956
605	967	985	1003
606	592	612	630
607	729	747	767
608	132	150	170
609	269	287	307
610	517	537	555
611	894	912	932
612	125	143	163
613	546	566	584
614	430	448	468
615	12	30	50
616	215	233	253
617	821	839	859
618	802	822	842
619	953	973	991
620	918	938	956
621	333	351	371
622	726	745	765
623	491	509	529
624	97	117	137
625	768	786	804
626	173	192	212
627	659	679	697
628	751	769	789
629	999	1017	1037
630	882	902	920
631	719	737	755
632	836	854	874
633	895	915	933
634	345	363	383
635	918	938	956
636	531	550	570
637	985	1005	1025
638	492	511	531
639	108	127	147
640	940	958	977
641	910	928	948
642	800	818	838
643	45	63	83
644	50	68	88
645	821	839	859
646	206	224	244
647	907	927	945
648	39	59	77
649	386	404	424
650	366	385	405
651	500	518	538
652	914	932	952
653	896	914	934
654	807	825	845
655	258	276	296
656	534	552	572
657	438	456	476
658	95	113	133
659	745	764	784
660	442	460	478
661	624	642	662
662	610	628	648
663	903	921	941
664	791	811	829
665	517	537	555
666	134	152	172
667	254	274	292
668	923	943	961
669	616	634	654
670	590	610	630
671	414	432	452
672	252	270	290
673	256	274	294
674	468	488	507
675	720	740	758
676	466	484	504
677	998	1017	1037
678	350	370	388
679	242	260	280
680	183	201	221
681	425	443	461
682	309	327	347
683	403	421	441
684	972	992	1011
685	751	769	789
686	18	38	57
687	582	602	620
688	391	411	431
689	260	278	298
690	530	548	566
691	78	96	116
692	201	220	240
693	337	355	375
694	194	212	230
695	217	235	255
696	548	566	586
697	433	451	471
698	290	310	328
699	114	132	152
700	706	725	745
701	75	93	113
702	10	28	48
703	931	949	969
704	532	550	570
705	470	490	508
706	937	955	975
707	406	425	445
708	114	132	152
709	674	694	712
710	60	78	98
711	45	65	85
712	1004	1022	5
713	204	230	250
714	538	556	576
715	622	642	660
716	342	362	381
717	682	702	720
718	226	244	262
719	33	53	71
720	809	829	848
721	307	325	351
722	118	138	156
723	399	419	443
724	42	60	80
725	294	312	337
726	746	764	784
727	569	587	611
728	700	718	738
729	627	647	665
730	511	529	549
731	174	192	210
732	196	216	234
733	84	108	128
734	796	820	838
735	624	642	662
736	1012	5	25
737	192	210	230
738	191	214	232
739	551	574	593
740	208	228	246
741	723	741	761
742	775	795	813
743	945	963	983
744	939	957	977
745	728	746	766
746	31	49	69
747	635	655	673
748	892	912	932
749	923	942	962
750	760	778	798
751	18	37	57
752	910	929	949
753	559	579	598
754	760	779	799
755	386	404	424
756	924	942	962
757	1008	1028	9
758	513	531	551
759	189	207	227
760	820	838	856
